Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 10
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
 0 :   1.687206,  -5.743098,  49.825163 |  -2.722997,  -5.307055,    0.000000 | 4.420753e-03, 2.266266e-03,   0.047742 :       OK
 1 :   2.172125,   1.835431,   5.503677 |   1.957232,   1.703438,    0.000000 | 1.362734e-03, 1.565493e-03,   0.045804 :       OK
 2 :  -5.395730,  -0.905421,  -9.612945 |  -4.413798,  -0.007185,    0.000000 | 5.681087e-06, 2.594960e-03,   0.033685 :       OK
 3 :  -5.215212,  -3.824954,  10.850380 |  -5.009969,  -4.055383,    0.000000 | 2.272140e-03, 2.807643e-03,   0.032124 :       OK
 4 :   2.306479,   0.182299,  54.128957 |   2.998529,   2.313254,    0.000000 | 8.474894e-04, 1.098196e-03,   0.020974 :       OK
 5 :   6.254603,  -3.486145,   9.521284 |   4.778855,  -2.066343,    0.000000 | 1.947867e-03, 4.499446e-03,   0.053931 :       OK
 6 :   2.133224,   2.574813, -42.085398 |   0.555166,   1.318974,    0.000000 | 3.558700e-04, 1.495737e-04,   0.015464 :       OK
 7 :  -6.092472,  -7.904905, -34.174007 |  -1.833191,  -4.563804,    0.000000 | 2.216816e-03, 8.915081e-04,   0.027824 :       OK
 8 :  -5.948989,   6.061147,  18.266358 |  -3.558634,   3.686646,    0.000000 | 2.341676e-04, 2.259776e-04,   0.003648 :       OK
 9 :   4.307740,  -2.024311, -15.296672 |   4.156428,  -2.705638,    0.000000 | 4.130301e-05, 6.403799e-05,   0.000888 :       OK
10 :   1.735718,  -3.219909, -22.556966 |   2.632595,  -3.463353,    0.000000 | 2.008804e-03, 1.526465e-03,   0.033247 :       OK
11 :   4.211111,   4.041580,   5.643753 |   3.842142,   3.714664,    0.000000 | 1.144196e-03, 1.183408e-03,   0.017636 :       OK
12 :   7.617219,  -5.279934,  45.262820 |   4.565160,  -0.291877,    0.000000 | 1.409938e-04, 2.185771e-03,   0.027432 :       OK
13 :   3.483637,   6.734992, -11.808793 |   1.792281,   5.107691,    0.000000 | 1.492262e-03, 5.227323e-04,   0.016744 :       OK
14 :   5.255847,   3.100983, -43.848784 |   3.534759,  -0.308960,    0.000000 | 2.366459e-04, 2.689395e-03,   0.043591 :       OK
15 :   4.417288,   5.548869, -32.852661 |   1.497478,   3.163453,    0.000000 | 2.732618e-03, 1.294840e-03,   0.049478 :       OK
16 :  -5.935688,   1.873194, -34.113670 |  -6.805529,   4.946957,    0.000000 | 1.472299e+01, 1.612151e+00,  11.993330 : Overflow
17 :   3.857365,   2.018489,  14.596082 |   3.736506,   2.553792,    0.000000 | 1.255348e-03, 1.835908e-03,   0.028141 :       OK
18 :  -6.882332,   0.965722, -21.460191 |  -6.423329,   3.047571,    0.000000 | 2.956387e-03, 6.237794e-03,   0.055658 :       OK
19 :   1.649687,   3.555371,  36.867911 |   3.694269,   4.525191,    0.000000 | 2.759104e-03, 2.251952e-03,   0.034951 :       OK
20 :  -0.165843,  -5.778490, -59.102750 |   5.653583,  -7.411814,    0.000000 | 3.575554e-03, 2.726529e-03,   0.027652 :       OK
21 :  -2.303593,  -6.638819, -57.974055 |   3.598633,  -6.296265,    0.000000 | 1.993108e-03, 1.138285e-03,   0.018144 :       OK
22 :   1.759667,  -2.746205, -49.276788 |   4.244790,  -4.591181,    0.000000 | 4.169972e-03, 3.855739e-03,   0.052009 :       OK
23 :  -1.268331,   6.454164,  31.487039 |   1.878150,   5.576890,    0.000000 | 3.010169e-02, 1.021015e-02,   0.308973 :       OK
24 :   1.208225,  -0.062510,  52.267242 |   1.395300,   0.971813,    0.000000 | 4.702158e-04, 6.753991e-04,   0.027745 :       OK
25 :   3.783035,   2.062678,   7.086934 |   3.375381,   2.113948,    0.000000 | 1.117061e-03, 1.782647e-03,   0.030249 :       OK
26 :   2.524306,   7.660580, -54.520708 |  -3.887101,   7.150425,    0.000000 | 4.372033e-03, 2.374966e-03,   0.035044 :       OK
27 :   6.932310,  -4.947451,  28.142616 |   4.361751,  -1.670150,    0.000000 | 4.206606e-04, 1.096743e-03,   0.014402 :       OK
28 :   3.729020,  -7.358446, -16.559169 |   5.013753,  -7.269474,    0.000000 | 2.394491e+00, 1.404652e+01,  14.913754 : Overflow
29 :  -6.523796,   3.734271,  -0.938210 |  -5.464793,   3.187691,    0.000000 | 1.307386e+01, 3.808478e+00,  30.534714 : Overflow
30 :  -0.967453,   7.533446,  20.485277 |   1.428284,   6.361759,    0.000000 | 2.664280e-03, 5.996567e-04,   0.023992 :       OK
31 :  -1.448661,  -4.625775,   1.624796 |  -1.311419,  -3.874020,    0.000000 | 6.122577e-02, 2.115253e-02,   0.903064 :       OK
32 :  -3.453380,  -1.986513,  40.001555 |  -4.839376,  -4.233829,    0.000000 | 1.997719e-03, 2.283797e-03,   0.027053 :       OK
33 :   6.717207,  -2.542267,  -6.221035 |   5.836200,  -2.728354,    0.000000 | 4.299898e-05, 9.045112e-05,   0.000884 :       OK
34 :  -6.622187,  -1.774906,  -8.679987 |  -5.334173,  -0.654073,    0.000000 | 4.489532e-05, 3.729861e-04,   0.004007 :       OK
35 :   2.414462,   1.317631,  50.542124 |   3.929363,   3.552658,    0.000000 | 1.156630e-03, 1.279109e-03,   0.018640 :       OK
36 :  -4.730799,  -0.241377,   8.451024 |  -3.997958,  -0.783584,    0.000000 | 1.259378e-04, 6.391899e-04,   0.009159 :       OK
37 :  -2.010185,  -1.306497,   9.449425 |  -1.870358,  -1.375229,    0.000000 | 4.307169e-04, 5.855400e-04,   0.017928 :       OK
38 :   5.870077,  -5.224282,  51.151289 |   2.539278,  -1.230762,    0.000000 | 6.661955e-04, 1.373279e-03,   0.030978 :       OK
39 :   4.765220,  -2.754751, -49.992915 |   7.814601,  -7.117459,    0.000000 | 1.555354e+01, 4.839184e-01,   3.313713 : Overflow
40 :  -7.588858,  -4.059257, -34.479224 |  -5.320586,   0.025519,    0.000000 | 2.061569e-06, 2.499510e-04,   0.002692 :       OK
41 :   3.093035,  -4.512741,  55.280029 |  -0.343344,  -2.748216,    0.000000 | 5.225651e-04, 6.480016e-05,   0.010896 :       OK
42 :   3.109238,  -1.266281,  51.726662 |   2.621958,   1.149943,    0.000000 | 9.359278e-04, 2.136362e-03,   0.046697 :       OK
43 :   2.273992,   5.158995,  33.809356 |   4.900298,   6.227203,    0.000000 | 1.210753e-04, 9.565400e-05,   0.001107 :       OK
44 :   3.051660,  -7.308981,   9.754466 |   1.531475,  -5.719775,    0.000000 | 5.520108e-03, 1.481311e-03,   0.055286 :       OK
45 :   4.341931,   4.920339,  25.189481 |   5.810031,   6.119249,    0.000000 | 2.995386e-03, 2.844185e-03,   0.028031 :       OK
46 :  -3.047888,  -5.726428, -48.142755 |   1.003626,  -4.146025,    0.000000 | 3.251584e-03, 7.852868e-04,   0.044942 :       OK
47 :   1.609977,  -3.689651,  19.328729 |   0.360136,  -2.778203,    0.000000 | 2.494583e-03, 3.249000e-04,   0.051442 :       OK
48 :  -3.017379,  -5.226991, -15.796278 |  -1.388548,  -3.804084,    0.000000 | 3.511024e-03, 1.283505e-03,   0.052870 :       OK
49 :  -7.948997,  -4.285996, -20.533018 |  -5.722062,  -1.372571,    0.000000 | 5.703427e-04, 2.372174e-03,   0.023749 :       OK
50 :  -3.530917,   0.544173,  13.233187 |  -2.903164,  -0.219086,    0.000000 | 1.855748e-04, 2.439615e-03,   0.048145 :       OK
51 :  -5.029399,  -0.517931,  14.903639 |  -4.428342,  -1.542224,    0.000000 | 1.493915e-03, 4.296673e-03,   0.055605 :       OK
52 :  -2.051179,   0.343430,  -8.890781 |  -1.766961,   0.553581,    0.000000 | 1.650022e-04, 5.256323e-04,   0.017041 :       OK
53 :   2.726577,  -2.875630, -52.144615 |   5.749981,  -5.799761,    0.000000 | 1.722044e-03, 1.707258e-03,   0.017024 :       OK
54 :  -7.801935,   2.670803,  41.476479 |  -6.497420,  -2.283970,    0.000000 | 1.873128e-03, 5.336709e-03,   0.047070 :       OK
55 :  -2.882692,   1.478186,  26.686878 |  -2.064010,   0.207187,    0.000000 | 5.268945e-05, 5.209425e-04,   0.014460 :       OK
56 :   1.908586,  -5.810323,  49.541343 |  -2.494460,  -5.192217,    0.000000 | 1.021430e-03, 4.914351e-04,   0.011266 :       OK
57 :  -4.975375,   1.361024, -47.071984 |  -6.637697,   5.318849,    0.000000 | 1.723326e-03, 2.149995e-03,   0.018549 :       OK
58 :   7.539270,   6.650396, -31.543844 |   4.034296,   2.755204,    0.000000 | 1.208644e-02, 1.772854e-02,   0.252168 :       OK
59 :   2.731632,   1.534931, -40.186088 |   1.879031,  -0.123386,    0.000000 | 2.667866e-05, 4.009888e-04,   0.012226 :       OK
60 :  -2.239909,   6.146406, -26.475631 |  -4.502117,   6.544182,    0.000000 | 3.085553e-03, 2.121793e-03,   0.027025 :       OK
61 :  -3.630786,   4.340769, -28.687316 |  -5.278070,   5.635151,    0.000000 | 4.443809e-05, 4.173935e-05,   0.000443 :       OK
62 :  -0.059284,   5.525850,  21.389224 |   1.699106,   4.889688,    0.000000 | 1.306805e-03, 4.549369e-04,   0.015309 :       OK
63 :  -2.207563,   7.911413,  11.115441 |  -0.584803,   6.331067,    0.000000 | 4.257820e-03, 3.908822e-04,   0.038535 :       OK
64 :   3.818593,   1.477783, -10.553792 |   2.995354,   0.660142,    0.000000 | 4.671619e-04, 2.124982e-03,   0.040652 :       OK
65 :   4.590917,   3.776910,  46.234158 |   7.930982,   7.629582,    0.000000 | 1.497199e+01, 1.493769e+01,   7.072470 : Overflow
66 :   3.123200,   5.365634, -13.084197 |   1.633844,   3.971928,    0.000000 | 1.919047e-03, 7.903097e-04,   0.027676 :       OK
67 :   4.486586,  -1.858546,  22.030049 |   3.393800,  -0.190625,    0.000000 | 1.511535e-04, 2.719992e-03,   0.045922 :       OK
68 :  -1.422948,   3.119579,  58.044734 |   1.254299,   2.622941,    0.000000 | 1.057025e-03, 5.059545e-04,   0.023083 :       OK
69 :   7.905708,  -0.736653, -14.324880 |   6.920531,  -2.287715,    0.000000 | 1.464650e+01, 2.401792e+00,  17.148044 : Overflow
70 :   1.446200,  -3.019275,  41.716380 |  -0.457190,  -2.246258,    0.000000 | 1.911942e-03, 3.902677e-04,   0.048762 :       OK
71 :  -1.299482,   4.554494, -14.442090 |  -2.075444,   4.174612,    0.000000 | 3.036056e-03, 1.508072e-03,   0.041681 :       OK
72 :   4.635568,   2.974607, -15.517723 |   3.311749,   1.504802,    0.000000 | 4.867853e-05, 1.080570e-04,   0.001874 :       OK
